Location,Country,Category,Visitors,Rating,Revenue actual (usd),Accommodation_Available
Rwtnythjbx,USA,Urban,148087,3.15,"$88,887,428,000.00",Yes
Qdgoqcuoxw,China,Historical,426741,2.91,"$45,236,153,000.00",No
Qmzvyompgn,Australia,Nature,926101,2.34,"$14,326,728,000.00",Yes
Hglcykheoh,Brazil,Urban,502593,1.91,"$39,047,689,000.00",No
Pxvsqxjsav,India,Urban,898150,3.39,"$22,063,297,000.00",Yes
Qbrlzbnxhp,Egypt,Beach,393928,4.29,"$1,081,952,000.00",Yes
Vqmzzkzmnh,Brazil,Historical,283818,4.51,"$21,724,144,000.00",No
Ojmbfddjcx,Brazil,Adventure,463491,2.79,"$94,374,998,000.00",No
Nxfcddhygc,Brazil,Beach,162633,4.71,"$87,470,643,000.00",No
Xydksstfbt,Australia,Historical,888097,3.31,"$22,030,089,000.00",No
Hilastufdv,India,Cultural,665926,3.80,"$51,399,681,000.00",No
Ppntjyhjqn,Egypt,Historical,338612,2.88,"$9,831,281,000.00",Yes
Hgzovexuyn,Brazil,Historical,605272,4.09,"$68,601,052,000.00",Yes
Hxpnflkeee,France,Beach,188889,4.50,"$74,169,199,000.00",No
Celqvavyos,India,Nature,690529,2.25,"$9,998,212,000.00",Yes
Npvpkkdewe,USA,Historical,550644,3.68,"$68,474,443,000.00",No
Fbyqnuojxj,Brazil,Cultural,399388,2.21,"$93,856,287,000.00",No
Jcxmnlnbwv,USA,Adventure,831297,3.66,"$6,983,609,000.00",No
Kagahglsgo,France,Adventure,726498,1.22,"$58,655,758,000.00",No
Mdqbqtnpsn,Australia,Historical,611419,3.15,"$80,869,589,000.00",Yes
Xwalryfvyi,Egypt,Beach,64221,2.54,"$80,419,773,000.00",Yes
Looostlwkf,Brazil,Nature,295933,3.06,"$3,600,087,000.00",No
Tdhoiygamf,India,Nature,647382,4.51,"$27,501,773,000.00",No
Lwuclrxayx,China,Historical,479112,4.68,"$98,238,247,000.00",No
Spmcldwyxw,Australia,Beach,973191,4.43,"$9,412,051,000.00",No
Ohbyaffnxq,France,Cultural,126431,4.15,"$48,065,644,000.00",No
Sqjtotgwgg,India,Nature,954400,1.22,"$69,659,208,000.00",No
Gpusnvsecg,Australia,Adventure,789582,1.79,"$2,977,403,000.00",Yes
Tohwbeqgam,France,Urban,594896,3.08,"$14,270,286,000.00",Yes
Fjarkvtvxk,France,Nature,533718,2.72,"$22,154,128,000.00",No
Gooewwnjfl,Brazil,Cultural,36891,2.55,"$8,147,066,000.00",No
Vumjqehwdt,Australia,Beach,346054,3.57,"$6,870,352,000.00",No
Kmevwvnngy,Australia,Nature,969826,4.39,"$8,343,060,000.00",Yes
Mqufiambap,Australia,Cultural,554185,2.30,"$10,132,687,000.00",Yes
Jylenrxnbo,France,Adventure,27176,3.89,"$28,388,585,000.00",Yes
Rigejqfdgv,China,Adventure,14222,4.79,"$84,989,205,000.00",Yes
Brsckafmpw,India,Historical,744714,2.11,"$2,986,589,000.00",No
Ammhftggay,Australia,Urban,303313,2.24,"$45,107,458,000.00",Yes
Ghhxjzhesp,USA,Cultural,376630,1.36,"$1,152,400,000.00",Yes
Mllpxqahfj,USA,Adventure,558754,1.30,"$12,879,346,000.00",Yes
Lsmsajcldw,India,Historical,465857,3.53,"$14,667,771,000.00",No
Gqqvlxkrtv,China,Historical,484014,4.47,"$6,469,369,000.00",No
Dzjchgcqar,Brazil,Cultural,199486,1.59,"$52,140,677,000.00",Yes
Uwwoatorrf,India,Urban,767151,3.51,"$77,364,954,000.00",No
Hspuaqltls,India,Adventure,761455,1.95,"$35,737,828,000.00",Yes
Oybebprvao,Brazil,Beach,540966,3.40,"$68,879,464,000.00",Yes
Kqvqvwcudk,China,Cultural,437951,3.14,"$4,102,409,000.00",No
Tmofhyejss,France,Beach,896333,3.19,"$3,878,238,000.00",Yes
Padpstlxqx,Australia,Adventure,937460,1.91,"$62,645,855,000.00",No
Cmezanamyf,Australia,Urban,674740,4.27,"$8,529,148,000.00",No
Qjdugdxcyf,China,Historical,793588,2.23,"$68,862,238,000.00",Yes
Elfltbpwht,Egypt,Beach,290520,2.31,"$8,188,644,000.00",Yes
Ozkxpwdlxd,India,Urban,974514,1.89,"$69,726,623,000.00",No
Hcncfilgbs,Brazil,Historical,614073,3.92,"$6,920,255,000.00",No
Obfkrezvyv,China,Urban,275385,4.89,"$70,937,673,000.00",No
Hljkqirddf,India,Adventure,344945,2.55,"$36,783,682,000.00",No
Skpcmddvyo,Egypt,Adventure,771902,4.40,"$6,405,226,000.00",No
Hfcfxdjpzc,USA,Nature,655572,2.31,"$11,457,601,000.00",Yes
Jdojqpwwrg,Brazil,Beach,57916,3.10,"$57,754,951,000.00",No
Lkzmlojmdt,China,Urban,651747,3.65,"$19,125,894,000.00",No
Txpgxceepf,Brazil,Historical,658101,4.02,"$26,234,519,000.00",No
Uaqcrjomyo,Egypt,Urban,631699,2.70,"$69,503,101,000.00",Yes
Oqcoqlkvfd,Egypt,Nature,257673,2.29,"$3,170,067,000.00",Yes
Dvrdcwwxmu,China,Urban,720560,5.00,"$9,536,758,000.00",Yes
Jzhnjrfngl,Egypt,Historical,223447,2.67,"$50,615,086,000.00",No
Uahxrsivxr,USA,Urban,556113,4.91,"$8,737,086,000.00",No
Tvjicjrwmu,France,Nature,234242,1.89,"$81,525,727,000.00",No
Faynrcpnzd,Egypt,Beach,548244,1.76,"$73,038,816,000.00",Yes
Qyvgocvvdu,China,Historical,210190,1.84,"$71,892,994,000.00",No
Llcatxyryv,France,Urban,139993,4.04,"$23,007,313,000.00",Yes
Ospawwentc,Australia,Cultural,528099,2.85,"$1,667,588,000.00",Yes
Srzxdwurdu,Australia,Cultural,33237,4.48,"$15,867,135,000.00",Yes
Wbfyaccjdw,Egypt,Historical,295492,2.55,"$89,948,964,000.00",No
Omoxeohqac,USA,Beach,741014,1.61,"$30,142,277,000.00",Yes
Eleoeoqejc,Australia,Urban,591163,1.93,"$67,624,438,000.00",Yes
Bbvyrmiomt,India,Adventure,581032,1.01,"$99,224,131,000.00",No
Bvmhtknykz,Egypt,Urban,439745,1.99,"$70,805,323,000.00",Yes
Nyiyhiteul,USA,Urban,282466,1.25,"$16,015,917,000.00",No
Ppooxirniq,Egypt,Beach,849891,2.61,"$39,382,079,000.00",No
Wgnncmuocz,Brazil,Cultural,72146,4.88,"$47,729,301,000.00",Yes
Zsoylxoreg,Brazil,Beach,69150,4.38,"$64,861,496,000.00",Yes
Lncyfasprg,Australia,Urban,561698,4.73,"$10,872,648,000.00",No
Xopuqmkepo,China,Urban,127370,2.61,"$81,412,453,000.00",No
Kawiwjwolj,France,Historical,15605,3.34,"$17,192,964,000.00",No
Qnmqqlrdxt,China,Beach,323746,2.69,"$1,035,256,000.00",Yes
Gtfplmqmzq,USA,Historical,538356,3.11,"$56,767,084,000.00",No
Xlsohdqaig,Australia,Historical,906975,1.75,"$27,303,578,000.00",Yes
Tmypznirgi,Egypt,Adventure,421103,4.84,"$81,403,906,000.00",No
Rknbcybhqq,Australia,Historical,468399,4.25,"$19,783,157,000.00",No
Raoqjmmitm,France,Nature,18654,2.64,"$55,035,236,000.00",Yes
Iedtrtbagx,USA,Beach,315268,4.80,"$30,242,009,000.00",No
Nnbmorenan,Brazil,Adventure,710052,3.27,"$91,357,663,000.00",No
Fjpoyjquhp,China,Nature,226991,3.31,"$91,114,888,000.00",No
Ddotgsutcl,China,Adventure,93236,4.14,"$7,718,106,000.00",Yes
Faxpdylrsx,Egypt,Beach,951878,2.02,"$64,578,132,000.00",No
Hhiwybwxmr,India,Beach,9886,1.28,"$17,263,134,000.00",Yes
Zfrpnxlptf,France,Adventure,983090,3.87,"$95,335,103,000.00",No
Jaiubvvnys,Egypt,Urban,152805,4.02,"$79,628,873,000.00",Yes
Ereylkendh,Brazil,Nature,262486,3.58,"$85,664,977,000.00",Yes
Iuneqaugfa,USA,Beach,483936,2.88,"$6,196,005,000.00",Yes
Qjcujwsgnc,Egypt,Beach,525563,4.21,"$209,846,000.00",No
Kfykemasfb,Brazil,Urban,663230,3.77,"$85,568,729,000.00",Yes
Kildezuflu,USA,Adventure,757553,2.22,"$8,407,678,000.00",Yes
Xjlkpytpxi,India,Urban,285552,1.31,"$25,261,914,000.00",Yes
Nplrdzfctv,China,Historical,823956,4.71,"$91,032,192,000.00",Yes
Apwbvottla,Egypt,Urban,11354,1.72,"$97,257,759,000.00",Yes
Ttmlrdeani,USA,Adventure,170042,4.86,"$85,400,213,000.00",Yes
Xvigxslpns,India,Historical,921711,3.19,"$73,815,477,000.00",Yes
Qyvnqjwclj,Egypt,Adventure,161410,4.42,"$91,817,707,000.00",Yes
Uwsbqzmznc,Brazil,Cultural,423112,4.94,"$34,098,889,000.00",No
Bhcobaylyb,India,Cultural,432987,4.60,"$74,064,236,000.00",No
Ddzsojyixz,China,Urban,417158,1.31,"$35,366,589,000.00",Yes
Ordenqhgyi,India,Nature,647520,2.84,"$69,276,096,000.00",Yes
Ysdjrhzggr,China,Historical,565226,4.21,"$37,680,918,000.00",Yes
Gtqafwfihw,Egypt,Cultural,538901,3.54,"$72,259,909,000.00",Yes
Svczsnxgfa,France,Beach,828178,2.23,"$74,743,331,000.00",No
Lfsriyvgwh,Egypt,Adventure,227752,2.87,"$46,862,379,000.00",Yes
Vbncllmzsy,China,Adventure,4145,3.18,"$83,425,835,000.00",Yes
Yndazilsaj,China,Cultural,69840,1.83,"$63,632,119,000.00",Yes
Owkigvnhmp,USA,Urban,13386,1.16,"$37,891,417,000.00",No
Qlgjskczzv,USA,Nature,732772,1.36,"$7,924,524,000.00",No
Kxtrhgdnxf,Brazil,Nature,72670,3.05,"$17,941,079,000.00",Yes
Nzeqohuxqd,USA,Beach,641450,1.09,"$624,032,000.00",Yes
Cqawxoxbpm,Brazil,Adventure,257032,2.27,"$49,245,955,000.00",Yes
Fzvqgsttek,China,Adventure,18239,1.17,"$23,647,611,000.00",No
Wqohnrsuex,USA,Historical,813363,4.85,"$56,465,097,000.00",Yes
Nnttusuujz,China,Historical,139642,4.94,"$73,432,523,000.00",No
Asqmzaiyep,Egypt,Cultural,221735,3.84,"$39,034,755,000.00",Yes
Mczydxdaxn,Brazil,Urban,664794,3.38,"$19,296,216,000.00",Yes
Ciuoqgcmhh,France,Beach,278671,1.95,"$23,275,017,000.00",No
Xbalnncnmo,China,Nature,163596,1.76,"$4,614,382,000.00",Yes
Nyooejfced,China,Adventure,473813,4.16,"$63,020,295,000.00",Yes
Alxjxbhlkk,USA,Adventure,727023,3.86,"$2,465,638,000.00",Yes
Wlmyfuldeb,USA,Cultural,993508,1.89,"$98,797,982,000.00",No
Floeovtjor,France,Historical,661712,2.42,"$13,105,283,000.00",Yes
Lsokxgxycv,Egypt,Urban,114043,2.89,"$71,721,407,000.00",Yes
Akcrlwgyzq,France,Adventure,921965,1.74,"$52,302,588,000.00",Yes
Eimbjkkldh,France,Urban,494250,2.58,"$62,299,141,000.00",No
Xqbugelokv,USA,Urban,243881,2.17,"$98,326,339,000.00",No
Fguyhblxub,France,Adventure,849256,2.97,"$69,045,543,000.00",No
Ivciqxejfw,Australia,Historical,303661,2.76,"$66,143,174,000.00",Yes
Chmplurivm,Egypt,Adventure,282316,1.96,"$79,304,775,000.00",No
Xlerotgrtm,France,Adventure,162348,4.18,"$9,325,044,000.00",Yes
Xbmqxyeulg,Brazil,Adventure,103486,4.95,"$39,765,492,000.00",No
Ngcyvtmbdx,USA,Nature,731761,4.23,"$4,149,953,000.00",No
Qjksaownrj,Egypt,Nature,525404,4.22,"$39,658,603,000.00",No
Cgtwvpfdyq,Egypt,Cultural,414391,2.47,"$51,069,566,000.00",Yes
Erinyvsnyi,Egypt,Beach,572553,4.09,"$69,356,697,000.00",Yes
Ksvlpfkamh,Egypt,Beach,821925,4.34,"$1,805,569,000.00",No
Anrefipbev,Egypt,Cultural,794815,1.78,"$2,514,348,000.00",No
Pdjczopwko,Brazil,Urban,637840,3.70,"$53,608,434,000.00",No
Opjdkzyfhz,Egypt,Adventure,196181,3.32,"$1,418,825,000.00",Yes
Hmyxqehfnf,Brazil,Nature,10961,4.52,"$71,145,261,000.00",Yes
Dfgylcxvkq,China,Beach,456385,2.63,"$46,675,396,000.00",No
Iqpndnpbkp,USA,Adventure,873035,1.31,"$15,267,039,000.00",Yes
Vpdcgxdset,France,Nature,90052,2.96,"$5,291,779,000.00",No
Yqprxgddzc,Brazil,Urban,712526,1.98,"$4,821,792,000.00",No
Rxjzzeknvq,Egypt,Urban,952342,3.84,"$23,522,595,000.00",No
Fdsleemlkc,Australia,Beach,765213,3.37,"$77,481,491,000.00",No
Mzzcmdgsbr,Brazil,Cultural,656328,3.10,"$23,611,388,000.00",Yes
Oonkhkdqur,France,Historical,592984,4.89,"$13,594,023,000.00",Yes
Adxtugrdqv,Australia,Urban,293929,4.23,"$24,179,473,000.00",Yes
Owtggsozlc,India,Urban,821868,3.54,"$26,076,623,000.00",No
Euuctluihj,USA,Historical,376187,2.57,"$23,350,233,000.00",No
Bxqijvhtds,India,Beach,180447,4.04,"$59,554,432,000.00",Yes
Dysnixyqss,Egypt,Cultural,958037,2.06,"$85,003,471,000.00",No
Uujqwzvnim,France,Cultural,510319,1.35,"$43,161,629,000.00",No
Gefwgzosfc,China,Beach,876218,4.56,"$65,200,232,000.00",No
Pfpngluigk,Brazil,Adventure,298387,2.40,"$85,793,764,000.00",Yes
Uicgjmyuvc,Australia,Historical,187945,1.74,"$42,982,342,000.00",No
Lfoayxxkiy,Egypt,Cultural,43538,1.54,"$84,955,544,000.00",No
Doqjalohrk,Australia,Cultural,242370,4.55,"$1,285,241,000.00",No
Xwcojfsvru,China,Nature,743016,2.50,"$62,388,035,000.00",Yes
Siiiyenesw,USA,Urban,956623,2.83,"$82,012,049,000.00",Yes
Csmxyujene,France,Cultural,49708,2.16,"$61,639,677,000.00",Yes
Yykuodvutz,India,Adventure,240787,4.18,"$73,524,198,000.00",Yes
Tuklfcdspo,France,Beach,274813,1.28,"$60,258,369,000.00",No
Zjsupymilz,Egypt,Beach,527999,4.21,"$36,652,873,000.00",Yes
Ovloahwuna,Australia,Nature,558056,3.32,"$47,610,134,000.00",No
Libmmtfycc,Egypt,Beach,896286,1.11,"$63,667,301,000.00",Yes
Lesgshiwmh,China,Urban,586164,4.48,"$48,781,672,000.00",No
Gkbpelrnxx,USA,Adventure,959184,2.48,"$45,643,249,000.00",Yes
Dykgqwkfdx,China,Beach,519700,1.43,"$34,330,271,000.00",Yes
Zwmliceikh,France,Adventure,917331,4.25,"$99,599,247,000.00",No
Cuygucpdkl,Australia,Nature,599591,2.08,"$1,727,140,000.00",Yes
Zuyynlelif,China,Cultural,769850,1.36,"$40,532,086,000.00",No
Xwsosewjsu,USA,Nature,209885,4.28,"$3,528,509,000.00",Yes
Kpehbtrpzp,China,Urban,889861,1.78,"$43,536,436,000.00",Yes
Imqsqaapwb,Australia,Historical,782314,2.98,"$31,665,237,000.00",No
Ftooofjihj,Egypt,Historical,209700,2.01,"$520,599,000.00",No
Wxxbcssvwn,USA,Historical,913801,2.30,"$88,490,249,000.00",No
Ecqvcnljcl,India,Adventure,28972,4.44,"$80,255,885,000.00",No
Ovduzaahfh,Egypt,Beach,182773,3.47,"$86,000,352,000.00",No
Otceqxfiwz,Brazil,Cultural,329996,2.50,"$7,469,404,000.00",Yes
Rhrixjitjp,India,Historical,65125,2.40,"$43,181,351,000.00",Yes
Nngaygjrdl,India,Beach,997653,2.51,"$72,554,038,000.00",No
Vzlygafcbs,China,Historical,634223,1.37,"$31,190,283,000.00",No
Smnyjhwrna,USA,Beach,827424,4.15,"$13,942,177,000.00",Yes
Mghoewhkzi,USA,Urban,677608,3.78,"$71,520,757,000.00",No
Ldzwlzmoig,Egypt,Beach,125443,1.93,"$64,692,215,000.00",Yes
Cwsapidavy,Australia,Urban,700481,2.01,"$80,380,671,000.00",Yes
Uvrjdapcke,USA,Cultural,470284,4.80,"$5,010,089,000.00",Yes
Cihnrigbei,Brazil,Beach,93303,1.93,"$68,545,498,000.00",No
Ixaitouteb,India,Nature,427412,2.63,"$69,572,349,000.00",No
Kzqevkeiba,USA,Adventure,144035,2.69,"$71,219,483,000.00",No
Lktapvndpy,China,Nature,876095,2.68,"$51,070,089,000.00",No
Xqjanlpvhz,USA,Nature,640526,1.34,"$49,533,368,000.00",No
Lwfsdunhkf,Australia,Beach,798715,1.26,"$35,888,635,000.00",Yes
Ctcvshohua,India,Historical,133653,2.67,"$43,669,637,000.00",No
Lcncsfuwyc,India,Urban,241429,4.75,"$534,225,000.00",No
Eqnoeiawai,Brazil,Adventure,385739,1.39,"$12,922,636,000.00",No
Syppgerpux,Australia,Historical,247298,1.61,"$99,153,978,000.00",Yes
Ondplmvwzp,USA,Historical,343389,2.39,"$69,315,355,000.00",No
Ezgyybusbo,Egypt,Adventure,437313,2.09,"$69,868,201,000.00",Yes
Xfdhrfwisr,China,Adventure,305395,3.85,"$14,178,297,000.00",Yes
Ybfwhxzrkx,France,Historical,650466,2.75,"$87,421,834,000.00",No
Jpgnkpdqnx,China,Urban,792238,3.15,"$52,736,441,000.00",No
Zyhdstfdgg,Australia,Beach,855418,2.66,"$99,920,095,000.00",Yes
Zeuauujybt,Australia,Urban,336891,3.11,"$37,382,093,000.00",Yes
Jyzulfwpgu,France,Nature,182983,4.29,"$28,551,568,000.00",No
Vwwdaxljxl,China,Cultural,723505,3.51,"$8,302,421,000.00",No
Tsvsusipwv,India,Cultural,722185,2.99,"$7,675,073,000.00",Yes
Cagovxqfrp,China,Nature,635453,3.64,"$21,644,026,000.00",No
Wwatusarox,China,Cultural,798814,2.16,"$82,062,115,000.00",No
Xomdzsdaij,Brazil,Urban,974432,1.55,"$34,870,704,000.00",Yes
Xrsgirbtkh,Egypt,Adventure,351671,4.47,"$88,634,409,000.00",Yes
Twsdkzvuru,Australia,Beach,412399,3.95,"$12,417,947,000.00",No
Pzohkgcapd,Egypt,Historical,685426,3.77,"$81,403,759,000.00",No
Kkrypnancs,Australia,Beach,594240,4.83,"$31,643,433,000.00",Yes
Quqvussqfi,India,Adventure,494704,2.15,"$45,383,067,000.00",No
Qcsaipybqz,Australia,Cultural,690593,3.89,"$43,937,685,000.00",No
Ffpakcytvh,Australia,Urban,478427,1.29,"$89,756,108,000.00",Yes
Ocwpbofqkx,France,Nature,685579,4.26,"$8,861,904,000.00",No
Rmmxeswotj,USA,Urban,296800,2.16,"$22,099,884,000.00",No
Fxopbpwoei,Brazil,Urban,739527,3.67,"$66,582,528,000.00",Yes
Icvhzkjknc,Egypt,Historical,291503,1.59,"$57,466,776,000.00",Yes
Jhnsephbnn,India,Beach,96699,2.27,"$64,831,706,000.00",Yes
Dwwvvzkpyl,Australia,Nature,116439,4.82,"$4,579,473,000.00",Yes
Etaznrlngk,France,Beach,651406,1.92,"$6,780,262,000.00",No
Pigailvsad,USA,Cultural,337951,1.17,"$55,332,404,000.00",Yes
Uvfwibzttr,Australia,Adventure,664830,4.71,"$64,177,509,000.00",Yes
Lbdjqotdbu,India,Urban,778476,3.23,"$10,762,937,000.00",No
Eszlfqgqol,India,Urban,593215,4.01,"$42,080,727,000.00",Yes
Nnofrtrbub,Brazil,Beach,591594,3.54,"$83,642,611,000.00",Yes
Mhbqejqhwq,Australia,Beach,808439,2.51,"$828,572,000.00",Yes
Dcrflpjyfw,Egypt,Historical,129185,2.92,"$72,813,754,000.00",Yes
Gywzenfzmt,France,Cultural,712350,2.64,"$99,726,107,000.00",No
Hiycdatghf,China,Adventure,596777,3.16,"$12,012,722,000.00",No
Pfaarrnxig,Egypt,Beach,707774,1.17,"$3,816,656,000.00",Yes
Zeaeqcxkhi,Brazil,Beach,569386,2.23,"$43,717,207,000.00",Yes
Jujyzzbfsp,Egypt,Historical,279978,2.72,"$21,757,959,000.00",Yes
Zuftbpvpec,Brazil,Beach,82063,1.22,"$20,026,639,000.00",No
Lufvztrlow,France,Nature,415359,3.99,"$2,240,514,000.00",No
Etfuvehslo,Australia,Beach,911690,1.55,"$38,940,776,000.00",No
Hcotgcjfue,India,Historical,253745,4.15,"$53,246,067,000.00",No
Xhwyuulvgm,France,Nature,151945,4.58,"$48,809,181,000.00",Yes
Xpaiwilmvt,India,Historical,771828,2.78,"$19,592,506,000.00",No
Vvfbxepvbr,USA,Adventure,201925,4.01,"$41,113,481,000.00",Yes
Auuwpydvts,India,Cultural,709989,2.52,"$6,074,970,000.00",No
Bbewxtfegz,France,Adventure,357916,2.53,"$43,517,075,000.00",Yes
Nofhvxucfl,USA,Beach,150641,2.96,"$81,468,949,000.00",No
Gietwxlciv,Egypt,Historical,737011,4.12,"$48,024,666,000.00",No
Otkdixuoyd,Brazil,Adventure,681523,3.62,"$19,865,412,000.00",No
Lwhflshvrv,Egypt,Beach,994503,1.22,"$34,997,489,000.00",Yes
Yjsorifxax,Egypt,Adventure,887294,2.21,"$53,697,711,000.00",Yes
Zcqathdmrg,France,Adventure,691042,1.29,"$20,747,019,000.00",No
Lermbatuqg,Brazil,Cultural,865919,1.03,"$7,218,158,000.00",No
Ghmytpyndv,USA,Beach,501316,4.79,"$4,588,737,000.00",No
Ibfhfnnyei,Australia,Beach,706623,2.91,"$39,869,181,000.00",No
Qbwfdmncds,Egypt,Urban,883170,3.16,"$44,756,916,000.00",Yes
Wbnuhcadlu,Australia,Beach,678325,3.86,"$9,863,444,000.00",No
Oqqzbeoqah,China,Nature,177402,4.01,"$51,406,188,000.00",No
Mwwnwszgut,Egypt,Beach,76864,3.54,"$64,129,299,000.00",Yes
Rirxcpjsxv,Brazil,Cultural,730545,3.53,"$6,051,706,000.00",Yes
Adrbwdicus,India,Cultural,840809,2.55,"$35,011,894,000.00",No
Rsvbpitwbr,Australia,Cultural,86506,3.05,"$7,469,150,000.00",Yes
Vfanuyucrv,India,Urban,773594,1.88,"$86,649,568,000.00",Yes
Sgigvdobau,China,Nature,513008,3.39,"$97,512,281,000.00",Yes
Kczcvqoruj,China,Cultural,579015,2.23,"$68,039,804,000.00",No
Daekqsvcgg,USA,Cultural,119881,1.02,"$5,902,853,000.00",Yes
Njbhttgbps,China,Beach,954827,3.40,"$69,254,104,000.00",No
Qunexprlqx,China,Beach,595766,1.84,"$40,416,714,000.00",Yes
Jiagkmkrix,Egypt,Urban,128644,2.87,"$71,496,126,000.00",Yes
Lvmlvpgmgi,Australia,Historical,67661,3.50,"$32,613,869,000.00",Yes
Jpjnnrtwit,Australia,Nature,540853,1.39,"$55,562,615,000.00",Yes
Wqxrrecoyq,India,Beach,468346,3.11,"$96,387,446,000.00",Yes
Ldcqvlwmcv,China,Nature,458752,1.69,"$86,303,808,000.00",No
Lksryyviyj,Australia,Adventure,192952,4.25,"$98,258,547,000.00",No
Uyjovyradv,USA,Nature,83812,3.73,"$21,029,726,000.00",No
Rcvfuebhyt,France,Cultural,832667,4.37,"$47,077,095,000.00",Yes
Garckcbmbl,Egypt,Historical,832924,3.19,"$45,081,048,000.00",Yes
Akcswxdoao,France,Beach,528125,2.50,"$16,147,632,000.00",Yes
Igbeplswos,India,Adventure,542434,1.73,"$95,107,667,000.00",Yes
Wxdohvqlpa,USA,Historical,411221,3.06,"$92,573,601,000.00",No
Uzuorxjkgg,USA,Nature,844439,3.68,"$1,328,062,000.00",No
Mbdyqaodrg,Egypt,Beach,267573,4.47,"$10,008,411,000.00",Yes
Eaffpvpobt,Australia,Urban,119781,2.58,"$42,755,459,000.00",Yes
Bxepavrwgm,India,Historical,408056,4.92,"$10,498,333,000.00",No
Egcefryuxp,Brazil,Nature,511582,1.23,"$88,698,844,000.00",Yes
Otekxaaunb,India,Adventure,195583,1.27,"$24,311,108,000.00",Yes
Zdcmptoool,France,Cultural,994514,2.16,"$6,122,172,000.00",Yes
Avbqfoyoor,Australia,Nature,687556,3.46,"$76,361,757,000.00",No
Yhoxfjvfkk,France,Urban,965962,2.40,"$80,781,896,000.00",No
Icwemggkpi,France,Historical,755936,1.86,"$50,674,429,000.00",Yes
Fcsrpjzcyq,Brazil,Beach,659304,4.38,"$7,625,372,000.00",Yes
Ubbbcueelo,Brazil,Historical,369124,3.49,"$77,009,865,000.00",No
Ixeqygsold,USA,Urban,910202,2.47,"$50,255,623,000.00",Yes
Xgmyyxuzka,Egypt,Nature,728401,4.52,"$37,818,965,000.00",Yes
Vtftnisidg,Australia,Urban,34920,2.88,"$4,027,776,000.00",Yes
Tvwoldqret,France,Cultural,7242,1.58,"$15,563,359,000.00",Yes
Mxnpgvpzed,USA,Adventure,703824,2.86,"$9,758,192,000.00",Yes
Amctjpmavj,Egypt,Adventure,47008,4.29,"$50,501,066,000.00",No
Hnndtwosld,India,Nature,821426,1.54,"$85,651,782,000.00",No
Ppscgauklq,USA,Nature,47492,4.58,"$31,585,304,000.00",Yes
Yithknsrtn,Brazil,Nature,988834,3.46,"$5,996,214,000.00",No
Rjzdaazpub,Brazil,Historical,435829,2.15,"$99,864,052,000.00",No
Jknuzhfteh,Brazil,Beach,454632,1.21,"$6,463,314,000.00",No
Aakxysatjt,Australia,Beach,2504,4.24,"$4,193,498,000.00",Yes
Hqmtbtiujl,USA,Urban,17127,2.43,"$73,188,665,000.00",Yes
Hfrmgdezgg,France,Nature,6280,4.11,"$7,631,766,000.00",No
Uztwveauec,China,Cultural,290365,1.53,"$45,230,215,000.00",No
Oiocmzvstr,France,Nature,83389,3.05,"$58,601,987,000.00",No
Tlknplxhaw,Egypt,Beach,308183,4.18,"$53,773,866,000.00",No
Csbrlbuhve,China,Beach,275821,1.81,"$83,576,114,000.00",Yes
Tamuikvjbt,China,Historical,289867,4.92,"$17,389,171,000.00",No
Xzvooviqdc,India,Cultural,344701,1.58,"$82,281,873,000.00",No
Jhquvjkurx,Brazil,Adventure,175512,4.68,"$54,898,252,000.00",Yes
Pcrnctztws,USA,Nature,225453,4.53,"$60,558,966,000.00",Yes
Mhctrcqime,Australia,Historical,258099,1.54,"$93,154,283,000.00",Yes
Aofhtepmhi,Egypt,Cultural,152568,2.98,"$4,999,909,000.00",Yes
Mvyrawfjoe,China,Historical,99705,3.41,"$62,131,317,000.00",No
Kihiwjwxjk,China,Beach,180882,1.41,"$90,996,592,000.00",No
Hmejjvoala,Brazil,Historical,182714,1.61,"$2,794,034,000.00",Yes
Wbuxvteafx,Australia,Nature,978836,3.37,"$45,294,881,000.00",No
Rujjlqidnb,China,Urban,231791,2.83,"$70,488,751,000.00",Yes
Ltxezybcoi,Egypt,Beach,428146,2.47,"$75,724,112,000.00",Yes
Lttygrhctc,China,Adventure,108785,2.95,"$48,462,318,000.00",Yes
Wabrkkvotm,China,Nature,952557,2.83,"$94,628,762,000.00",Yes
Phpdvcjeax,Egypt,Beach,922713,1.94,"$72,420,384,000.00",No
Kqvgpusawa,Brazil,Cultural,731901,1.14,"$25,259,261,000.00",No
Glvhxywyrp,France,Urban,379805,4.96,"$99,742,051,000.00",No
Euvcdideem,Egypt,Historical,155980,2.44,"$58,172,944,000.00",Yes
Gzwzjomuqq,USA,Urban,669129,4.32,"$21,239,157,000.00",No
Qufgoagher,USA,Nature,340536,1.10,"$82,710,933,000.00",Yes
Gvsflhrkwl,Australia,Historical,18769,3.50,"$72,724,796,000.00",Yes
Lluwowbcwc,China,Cultural,239771,3.58,"$35,343,739,000.00",No
Jmtuhbqgvn,France,Cultural,582538,4.75,"$25,588,233,000.00",Yes
Nngcdyxkco,India,Adventure,613895,3.65,"$63,229,676,000.00",No
Zuujcfowlc,Brazil,Beach,680709,3.04,"$73,630,518,000.00",No
Obuuarlzcw,India,Nature,500041,3.29,"$36,978,789,000.00",No
Diuparqyji,India,Historical,714818,3.09,"$29,100,348,000.00",No
Gkmjckgpfk,India,Adventure,997653,3.31,"$91,011,659,000.00",Yes
